year,averageamount,averagechange,cmltvaveragechange,medianamount,medianchange,cmltvmedianchange,ratiomedtoavg
1991,20923.84,0,0,15075.94,0,0,72.051
1992,22001.92,5.152,5.152,15610.40,3.545,3.545,70.950
1993,22191.14,0.860,6.057,15690.77,0.515,4.078,70.707
1994,22786.73,2.684,8.903,16118.02,2.723,6.912,70.734
1995,23700.11,4.008,13.268,16650.16,3.302,10.442,70.254
1996,24859.17,4.891,18.808,17403.45,4.524,15.439,70.008
1997,26309.73,5.835,25.740,18277.43,5.022,21.236,69.470
1998,27686.75,5.234,32.322,19157.40,4.815,27.073,69.193
1999,29229.69,5.573,39.696,20102.35,4.933,33.341,68.774
2000,30846.09,5.530,47.421,20957.18,4.252,39.011,67.941
2001,31581.97,2.386,50.938,21767.29,3.866,44.384,68.923
2002,31898.70,1.003,52.451,22152.84,1.771,46.942,69.447
2003,32678.48,2.445,56.178,22576.71,1.913,49.753,69.087
2004,34197.63,4.649,63.439,23355.83,3.451,54.921,68.297
2005,35448.93,3.659,69.419,23962.20,2.596,58.943,67.596
2006,37078.27,4.596,77.206,24891.59,3.879,65.108,67.133
2007,38760.95,4.538,85.248,25737.20,3.397,70.717,66.400
2008,39652.61,2.300,89.509,26514.38,3.020,75.872,66.867
2009,39054.62,-1.508,86.651,26261.29,-0.955,74.193,67.242
2010,39959.30,2.316,90.975,26363.55,0.389,74.872,65.976
2011,41211.36,3.133,96.959,26965.43,2.283,78.864,65.432
2012,42498.21,3.123,103.109,27519.10,2.053,82.537,64.754
2013,43041.39,1.278,105.705,28031.02,1.860,85.932,65.126
2014,44569.20,3.550,113.007,28851.21,2.926,91.373,64.734
2015,46119.78,3.479,120.417,29930.13,3.740,98.529,64.897
2016,46640.94,1.130,122.908,30533.31,2.015,102.530,65.465
2017,48251.57,3.453,130.606,31561.49,3.367,109.350,65.410
2018,50000.44,3.624,138.964,32838.05,4.045,117.818,65.676
2019,51916.27,3.832,148.120,34248.45,4.295,127.173,65.969
2020,53383.18,2.826,155.131,34612.04,1.062,129.585,64.837